County,County Code,Zip,Year,Year of Birth,Tests,Less than 5 mcg/dL,5-10 mcg/dL,10-15 mcg/dL,15+ mcg/dL,Total Elevated Blood Levels,"Rate per 1,000",Percent,Zip Code Location,County Location
Albany,1,12009,2020,2019,30,30.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.697778, -74.025728)","(42.588271, -73.974014)"
Albany,1,12023,2020,2019,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.60636, -74.1438)","(42.588271, -73.974014)"
Albany,1,12054,2020,2017,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.60522, -73.87008)","(42.588271, -73.974014)"
Albany,1,12083,2020,2018,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.416705, -74.011373)","(42.588271, -73.974014)"
Albany,1,12083,2020,2019,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.416705, -74.011373)","(42.588271, -73.974014)"
Albany,1,12084,2020,2018,30,30.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.699325, -73.89971)","(42.588271, -73.974014)"
Albany,1,12110,2020,2017,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.747077, -73.767886)","(42.588271, -73.974014)"
Albany,1,12143,2020,2018,14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.47172, -73.820415)","(42.588271, -73.974014)"
Albany,1,12158,2020,2017,6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.551716, -73.817741)","(42.588271, -73.974014)"
Albany,1,12158,2020,2018,28,28.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.551716, -73.817741)","(42.588271, -73.974014)"
Albany,1,12158,2020,2019,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.551716, -73.817741)","(42.588271, -73.974014)"
Albany,1,12159,2020,2019,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,"(42.642796, -73.877696)","(42.588271, -73.974014)"
