COUNTY,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Albany,306165,142246,128122,53448,7650,34885,15675,9145,51871,56475,33363,8533,5776,88073,18016,1893,1791,16870,17414,406355,29755,35290,18980,20800,228,89,11991,695,18.4,4.6,27.2,7.6,3.0,16.9,18.4,11.0,6.7,2.0,28.8,12.7,1.3,1.4,13.2,5.7,10.3,11.5,6.2,6.8,0.1,0.0,3.9,0.2,0.1803,0.2623,0.7869,0.8525,0.3934
Allegany,46304,26376,18028,11057,1080,4018,2483,2797,8726,9216,7313,859,211,2640,468,4466,285,1370,4798,43642,7606,722,782,482,95,26,504,29,26.7,5.2,22.3,8.3,6.1,18.8,19.9,16.0,4.8,0.5,5.7,1.8,16.9,1.6,7.6,10.4,18.3,1.6,1.7,1.0,0.2,0.1,1.1,0.1,0.5902,0.3934,0.082,0.6393,0.4262
Bronx,1427056,533434,510135,537819,66087,252258,247155,113006,184157,354681,220572,74493,198070,1298339,361520,935,63291,303100,45870,1170975,216363,411293,799765,53498,2882,374,18885,11642,38.6,10.1,49.4,26.6,8.0,12.9,24.9,15.7,14.6,15.0,91.0,67.8,0.2,12.4,59.4,3.2,15.7,28.8,56.0,3.7,0.2,0.0,1.3,0.8,1.0,0.9836,1.0,0.9508,1.0
Broome,192042,91155,79528,48449,6884,21935,12396,7323,36681,37179,29463,4718,2576,33080,7277,4128,1496,9790,9994,210496,20777,9503,8455,8495,283,125,6082,137,26.6,7.6,27.6,9.7,3.9,19.1,19.4,15.6,5.9,1.4,17.2,8.0,4.5,1.9,12.3,5.2,11.4,4.9,4.4,4.4,0.1,0.1,3.2,0.1,0.8361,0.8361,0.5902,0.8852,0.9016
Cattaraugus,76750,41681,31999,20218,1977,7569,5444,4817,14746,17059,11743,2043,420,7548,1378,5370,584,3322,2613,74817,15425,1101,1672,541,2412,0,1750,72,27.2,5.6,23.7,10.3,6.3,19.2,22.2,15.5,6.4,0.6,9.8,3.3,12.9,1.8,10.4,3.4,20.8,1.4,2.2,0.7,3.1,0.0,2.3,0.1,0.8197,0.918,0.3279,0.7541,0.8689
Cayuga,76958,37131,30870,15927,1804,7746,6545,3190,14584,15144,10409,1779,321,8031,2587,3822,410,2899,4361,67566,10498,2906,2336,479,78,51,2105,76,22.0,4.8,25.1,11.8,4.3,19.0,19.7,14.2,5.8,0.4,10.4,7.0,10.3,1.3,9.4,5.7,14.5,3.8,3.0,0.6,0.1,0.1,2.7,0.1,0.6393,0.3443,0.4262,0.7213,0.6066
Chautauqua,127584,67656,53625,34054,3241,13760,9455,6728,25647,25990,20491,3044,1476,16623,3362,4325,656,6467,5562,128859,19745,3024,9817,679,282,35,2732,54,27.8,5.5,25.7,10.6,5.4,20.1,20.4,16.4,5.7,1.2,13.0,5.0,6.4,1.2,12.1,4.4,16.2,2.4,7.7,0.5,0.2,0.0,2.1,0.0,0.8525,0.9508,0.4918,0.541,0.8852
Chemung,84115,38983,34328,18891,2330,9242,5989,3660,15870,17990,12925,2305,366,12093,1976,1782,439,3429,4613,85361,10223,4765,2728,1270,157,0,3072,101,23.7,5.9,26.9,10.1,4.5,18.9,21.4,16.0,6.7,0.5,14.4,5.1,4.6,1.3,10.0,5.5,12.9,5.7,3.2,1.5,0.2,0.0,3.7,0.1,0.7705,0.9016,0.541,0.5246,0.8033
Chenango,47527,25818,20834,11115,1508,4862,3936,1596,9762,9855,8774,1010,285,2633,827,5472,370,1982,679,43267,6330,352,1095,188,87,7,866,38,23.8,6.5,23.3,11.5,3.4,20.5,20.7,18.7,4.8,0.6,5.5,3.2,21.2,1.8,9.5,1.4,13.5,0.7,2.3,0.4,0.2,0.0,1.8,0.1,0.623,0.8197,0.0492,0.5082,0.5902
Clinton,80320,36723,31557,15322,1706,6887,6600,2594,13542,14419,12376,1339,317,8184,1709,4868,559,2951,7736,83373,9952,3168,2367,994,194,8,1284,169,21.1,4.5,21.8,12.0,3.4,16.9,18.0,16.4,4.2,0.4,10.2,4.7,13.3,1.8,9.4,9.6,13.7,3.9,2.9,1.2,0.2,0.0,1.6,0.2,0.2459,0.082,0.3934,0.918,0.2951
