County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Albany,12009,ALTAMONT ES,Public School,No,63.0,0.0,63.0,0.0,"(42.678066, -73.814233)"
Albany,12047,ABRAM LANSING SCHOOL,Public School,No,74.0,0.0,74.0,0.0,"(42.678066, -73.814233)"
Albany,12047,BOGHT HILLS SCHOOL,Public School,No,80.0,1.0,80.0,1.0,"(42.678066, -73.814233)"
Albany,12047,COHOES HS,Public School,No,53.0,0.0,53.0,0.0,"(42.678066, -73.814233)"
Albany,12047,HARMONY HILL ES,Public School,No,86.0,0.0,86.0,0.0,"(42.678066, -73.814233)"
Albany,12084,GUILDERLAND ES,Public School,No,95.0,0.0,95.0,0.0,"(42.678066, -73.814233)"
Albany,12084,GUILDERLAND MS,Public School,No,218.0,0.0,218.0,0.0,"(42.678066, -73.814233)"
Albany,12085,GUILDERLAND HS,Public School,No,161.0,1.0,161.0,1.0,"(42.678066, -73.814233)"
Albany,12110,BLUE CREEK SCHOOL,Public School,No,81.0,1.0,81.0,1.0,"(42.678066, -73.814233)"
Albany,12110,FORTS FERRY SCHOOL,Public School,No,81.0,1.0,81.0,1.0,"(42.678066, -73.814233)"
Albany,12110,LATHAM RIDGE SCHOOL,Public School,No,88.0,10.0,88.0,10.0,"(42.678066, -73.814233)"
Albany,12110,SHAKER HS,Public School,Yes (Partial Building),131.0,10.0,131.0,10.0,"(42.678066, -73.814233)"
Albany,12143,RAVENA MS,Public School,No,70.0,10.0,70.0,10.0,"(42.678066, -73.814233)"
Albany,12143,RAVENA SHS,Public School,No,51.0,11.0,51.0,11.0,"(42.678066, -73.814233)"
Albany,12183,HEATLY SCHOOL,Public School,No,93.0,0.0,93.0,0.0,"(42.678066, -73.814233)"
Albany,12186,CLAYTON A. BOUTON HS,Public School,No,94.0,12.0,94.0,12.0,"(42.678066, -73.814233)"
Albany,12186,VOORHEESVILLE MIDDLE SCHOOL,Public School,No,19.0,3.0,19.0,3.0,"(42.678066, -73.814233)"
Albany,12189,WATERVLIET ES,Public School,Yes (Entire Building),104.0,0.0,104.0,0.0,"(42.678066, -73.814233)"
Albany,12189,WATERVLIET JSHS,Public School,No,103.0,2.0,103.0,2.0,"(42.678066, -73.814233)"
Albany,12201,MYERS MIDDLE SCHOOL,Public School,No,125.0,21.0,125.0,21.0,"(42.678066, -73.814233)"
