ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
36,New York,NY,36001,Albany,36001,"Albany County, New York",522.887676394942,306165,0,142246,376,128122,890,53448,2547,7650,757,34885,1484,15675,967,9145,964,51871,32,56475,0,33363,1439,8533,739,5776,694,88073,1869,18016,991,1893,287,1791,356,16870,793,17414,801,18.4,0.9,4.6,0.5,27.2,1.1,7.6,0.5,3.0,0.3,16.9,0.1,18.4,0.0,11.0,0.5,6.7,0.6,2.0,0.2,28.8,0.6,12.7,0.7,1.3,0.2,1.4,0.3,13.2,0.6,5.7,0.3,0.2295,0.2951,0.7213,0.1148,0.0164,1.3771,0.1803,0.1803,0.2131,0.1639,0.8525,0.7541,2.1639,0.2623,0.7869,0.7869,0.7869,0.8852,0.1967,0.4098,0.8852,0.7049,3.0818,0.8525,7.4097,0.3934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406355,29755,2124,35290,1091,18980,0,20800,513,228,87,89,96,11991,1390,695,695,10.3,0.0,11.5,0.4,6.2,0.0,6.8,0.2,0.1,0.1,0.0,0.1,3.9,0.5,0.2,0.1
36,New York,NY,36003,Allegany,36003,"Allegany County, New York",1029.434838154772,46304,0,26376,212,18028,360,11057,636,1080,171,4018,275,2483,250,2797,373,8726,60,9216,85,7313,422,859,132,211,91,2640,193,468,111,4466,228,285,80,1370,146,4798,462,26.7,1.5,5.2,0.8,22.3,1.5,8.3,0.8,6.1,0.8,18.8,0.1,19.9,0.2,16.0,0.9,4.8,0.7,0.5,0.2,5.7,0.4,1.8,0.4,16.9,0.9,1.6,0.4,7.6,0.8,10.4,1.0,0.8852,0.4754,0.1311,0.2131,0.8689,2.5737,0.5902,0.5574,0.4262,0.7869,0.3279,0.2131,2.3115,0.3934,0.082,0.082,0.082,0.0492,0.9672,0.4918,0.2787,0.9508,2.7377,0.6393,7.7049,0.4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,43642,7606,794,722,88,782,0,482,61,95,33,26,25,504,126,29,29,18.3,0.2,1.6,0.2,1.7,0.0,1.0,0.1,0.2,0.1,0.1,0.1,1.1,0.3,0.1,0.1
36,New York,NY,36005,Bronx,36005,"Bronx County, New York",42.171840756322,1427056,0,533434,657,510135,1398,537819,8573,66087,2252,252258,4350,247155,4651,113006,4115,184157,98,354681,82,220572,4377,74493,2359,198070,4550,1298339,4370,361520,3032,935,355,63291,2415,303100,3342,45870,1703,38.6,0.6,10.1,0.3,49.4,0.8,26.6,0.5,8.0,0.3,12.9,0.1,24.9,0.0,15.7,0.3,14.6,0.5,15.0,0.3,91.0,0.3,67.8,0.6,0.2,0.1,12.4,0.5,59.4,0.6,3.2,0.1,1.0,1.0,1.0,1.0,0.9508,4.9508,1.0,0.0,0.9672,0.6885,1.0,1.0,3.6557,0.9836,1.0,1.0,1.0,0.9836,0.0328,1.0,0.9836,0.4098,3.4098,0.9508,13.0163,1.0,1,1,1,1,1,5,0,1,0,1,1,3,1,1,1,0,1,1,0,3,12,1170975,216363,7324,411293,2064,799765,0,53498,960,2882,477,374,197,18885,1599,11642,11642,15.7,0.0,28.8,0.1,56.0,0.0,3.7,0.1,0.2,0.1,0.0,0.1,1.3,0.1,0.8,0.1
36,New York,NY,36007,Broome,36007,"Broome County, New York",705.638014805538,192042,0,91155,247,79528,728,48449,2219,6884,731,21935,1071,12396,911,7323,846,36681,45,37179,0,29463,1619,4718,501,2576,442,33080,1041,7277,549,4128,456,1496,314,9790,713,9994,528,26.6,1.2,7.6,0.8,27.6,1.3,9.7,0.7,3.9,0.4,19.1,0.1,19.4,0.0,15.6,0.9,5.9,0.6,1.4,0.2,17.2,0.5,8.0,0.6,4.5,0.5,1.9,0.4,12.3,0.9,5.2,0.3,0.8689,0.9836,0.7377,0.5246,0.3115,3.4263,0.8361,0.6393,0.3607,0.6721,0.6721,0.6721,3.0163,0.8361,0.5902,0.5902,0.5902,0.7049,0.3115,0.6721,0.8197,0.6393,3.1475,0.8852,10.1803,0.9016,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,210496,20777,1492,9503,621,8455,0,8495,322,283,119,125,117,6082,703,137,137,11.4,0.0,4.9,0.3,4.4,0.0,4.4,0.2,0.1,0.1,0.1,0.1,3.2,0.4,0.1,0.1
36,New York,NY,36009,Cattaraugus,36009,"Cattaraugus County, New York",1308.162176975352,76750,0,41681,151,31999,465,20218,1133,1977,288,7569,493,5444,386,4817,527,14746,52,17059,0,11743,557,2043,229,420,113,7548,2426,1378,191,5370,355,584,133,3322,336,2613,324,27.2,1.5,5.6,0.8,23.7,1.5,10.3,0.7,6.3,0.7,19.2,0.1,22.2,0.0,15.5,0.7,6.4,0.7,0.6,0.2,9.8,3.2,3.3,0.5,12.9,0.8,1.8,0.4,10.4,1.0,3.4,0.4,0.9016,0.5902,0.3934,0.5902,0.8852,3.3606,0.8197,0.6721,0.8689,0.6557,0.7869,0.2459,3.2295,0.918,0.3279,0.3279,0.3279,0.3115,0.8852,0.6066,0.7049,0.4426,2.9508,0.7541,9.8688,0.8689,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74817,15425,1059,1101,153,1672,0,541,80,2412,110,0,29,1750,196,72,72,20.8,0.1,1.4,0.2,2.2,0.0,0.7,0.1,3.1,0.1,0.0,0.1,2.3,0.3,0.1,0.1
36,New York,NY,36011,Cayuga,36011,"Cayuga County, New York",691.582328639888,76958,0,37131,215,30870,534,15927,910,1804,317,7746,606,6545,443,3190,373,14584,95,15144,0,10409,687,1779,255,321,133,8031,436,2587,437,3822,338,410,152,2899,361,4361,470,22.0,1.2,4.8,0.8,25.1,1.9,11.8,0.8,4.3,0.5,19.0,0.1,19.7,0.0,14.2,0.9,5.8,0.8,0.4,0.2,10.4,0.6,7.0,1.2,10.3,0.9,1.3,0.5,9.4,1.1,5.7,0.6,0.5574,0.3607,0.541,0.7705,0.4918,2.7214,0.6393,0.623,0.3934,0.4754,0.623,0.0984,2.2132,0.3443,0.4262,0.4262,0.4262,0.6557,0.7213,0.2951,0.4918,0.7049,2.8688,0.7213,8.2296,0.6066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67566,10498,1120,2906,252,2336,0,479,132,78,46,51,58,2105,313,76,76,14.5,0.1,3.8,0.3,3.0,0.0,0.6,0.2,0.1,0.1,0.1,0.1,2.7,0.4,0.1,0.1
36,New York,NY,36013,Chautauqua,36013,"Chautauqua County, New York",1060.4114402233,127584,0,67656,184,53625,631,34054,1587,3241,454,13760,723,9455,589,6728,932,25647,80,25990,0,20491,990,3044,351,1476,335,16623,531,3362,420,4325,445,656,169,6467,577,5562,405,27.8,1.3,5.5,0.8,25.7,1.3,10.6,0.7,5.4,0.7,20.1,0.1,20.4,0.0,16.4,0.8,5.7,0.7,1.2,0.3,13.0,0.4,5.0,0.6,6.4,0.7,1.2,0.3,12.1,1.1,4.4,0.3,0.9508,0.5738,0.6066,0.623,0.7377,3.4919,0.8525,0.7869,0.5902,0.8689,0.5738,0.6066,3.4264,0.9508,0.4918,0.4918,0.4918,0.4918,0.4426,0.2295,0.7869,0.5738,2.5246,0.541,9.9347,0.8852,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128859,19745,1319,3024,274,9817,0,679,90,282,98,35,31,2732,343,54,54,16.2,0.1,2.4,0.2,7.7,0.0,0.5,0.1,0.2,0.1,0.0,0.1,2.1,0.3,0.0,0.1
36,New York,NY,36015,Chemung,36015,"Chemung County, New York",407.333139711044,84115,0,38983,217,34328,515,18891,1223,2330,365,9242,682,5989,520,3660,590,15870,79,17990,63,12925,905,2305,333,366,158,12093,691,1976,253,1782,222,439,160,3429,468,4613,520,23.7,1.5,5.9,0.9,26.9,1.9,10.1,0.9,4.5,0.7,18.9,0.1,21.4,0.1,16.0,1.1,6.7,1.0,0.5,0.2,14.4,0.8,5.1,0.6,4.6,0.6,1.3,0.5,10.0,1.3,5.5,0.6,0.6885,0.7869,0.6721,0.541,0.541,3.2295,0.7705,0.5902,0.7541,0.7869,0.8525,0.2131,3.1968,0.9016,0.541,0.541,0.541,0.541,0.3443,0.2951,0.6393,0.6885,2.5082,0.5246,9.4755,0.8033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85361,10223,1167,4765,379,2728,0,1270,193,157,83,0,29,3072,515,101,101,12.9,0.1,5.7,0.5,3.2,0.0,1.5,0.2,0.2,0.1,0.0,0.1,3.7,0.6,0.1,0.1
36,New York,NY,36017,Chenango,36017,"Chenango County, New York",893.592113963902,47527,0,25818,77,20834,446,11115,810,1508,276,4862,428,3936,371,1596,268,9762,65,9855,33,8774,537,1010,169,285,119,2633,195,827,170,5472,404,370,123,1982,273,679,115,23.8,1.7,6.5,1.2,23.3,2.0,11.5,1.1,3.4,0.6,20.5,0.1,20.7,0.1,18.7,1.1,4.8,0.8,0.6,0.3,5.5,0.4,3.2,0.7,21.2,1.6,1.8,0.6,9.5,1.3,1.4,0.2,0.7213,0.8689,0.2295,0.7049,0.1475,2.6721,0.623,0.8197,0.623,0.9836,0.3279,0.2459,3.0001,0.8197,0.0492,0.0492,0.0492,0.2951,1.0,0.6066,0.5246,0.0656,2.4919,0.5082,8.2133,0.5902,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,43267,6330,584,352,66,1095,0,188,76,87,37,7,9,866,135,38,38,13.5,0.0,0.7,0.1,2.3,0.0,0.4,0.2,0.2,0.1,0.0,0.1,1.8,0.3,0.1,0.1
36,New York,NY,36019,Clinton,36019,"Clinton County, New York",1037.750679864652,80320,0,36723,208,31557,454,15322,1215,1706,317,6887,595,6600,646,2594,449,13542,89,14419,0,12376,874,1339,247,317,130,8184,353,1709,253,4868,497,559,220,2951,461,7736,460,21.1,1.7,4.5,0.8,21.8,1.9,12.0,1.2,3.4,0.6,16.9,0.1,18.0,0.0,16.4,1.2,4.2,0.8,0.4,0.2,10.2,0.4,4.7,0.7,13.3,1.4,1.8,0.7,9.4,1.4,9.6,0.6,0.4426,0.2623,0.0984,0.7869,0.1475,1.7377,0.2459,0.1803,0.1803,0.8689,0.1639,0.0984,1.4918,0.082,0.3934,0.3934,0.3934,0.4754,0.9016,0.6066,0.4918,0.918,3.3934,0.918,7.0163,0.2951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,83373,9952,1293,3168,121,2367,0,994,149,194,56,8,10,1284,187,169,169,13.7,0.1,3.9,0.2,2.9,0.0,1.2,0.2,0.2,0.1,0.0,0.1,1.6,0.2,0.2,0.2
